表層形, 品詞
て,助詞
しまっ,動詞
て,助詞
、,記号
それから,接続詞
ナイフ,名詞
を,助詞
捨て,動詞
、,記号
フオク,名詞
を,助詞
右手,名詞
に,助詞
持ちかえ,動詞
、,記号
その,連体詞
一,名詞
きれ,動詞
一,名詞
きれ,動詞
を,助詞
フオク,名詞
に,助詞
刺し,動詞
て,助詞
ゆっくり,副詞
楽し,形容詞
そう,名詞
に,助詞
召し上がっ,動詞
て,助詞
いらっしゃる,動詞
。,記号
また,接続詞
、,記号
骨,名詞
つき,名詞
の,助詞
チキン,名詞
など,助詞
、,記号
私,名詞
たち,名詞
が,助詞
お,接頭詞
皿,名詞
を,助詞
鳴らさ,動詞
ず,助動詞
に,助詞
骨,名詞
から,助詞
肉,名詞
を,助詞
切り,名詞
は,助詞
なす,動詞
の,名詞
に,助詞
苦心,名詞
し,動詞
て,助詞
いる,動詞
時,名詞
、,記号
お母さま,名詞
は,助詞
、,記号
平気,名詞
で,助詞
ひょいと,副詞
指先,名詞
で,助詞
骨,名詞
の,助詞
ところ,名詞
を,助詞
つまん,動詞
で,助詞
持ち上げ,動詞
、,記号
お,接頭詞
口,名詞
で,助詞
骨,名詞
と,助詞
肉,名詞
を,助詞
はなし,動詞
て,助詞
澄まし,動詞
て,助詞
いらっしゃる,動詞
。,記号
そんな,連体詞
野蛮,名詞
な,助動詞
仕草,名詞
も,助詞
、,記号
お母さま,名詞
が,助詞
なさる,動詞
と,助詞
、,記号
可愛らしい,形容詞
ばかり,助詞
か,助詞
、,記号
へん,名詞
に,助詞
エロチック,名詞
に,助詞
さえ,助詞
見える,動詞
の,名詞
だ,助動詞
から,助詞
、,記号
さすが,副詞
に,助詞
ほん,動詞
もの,名詞
は,助詞
違っ,動詞
た,助動詞
もの,名詞
で,助動詞
ある,助動詞
。,記号
骨,名詞
つき,名詞
の,助詞
チキン,名詞
の,助詞
場合,名詞
だけ,助詞
で,助動詞
なく,助動詞
、,記号
お母さま,名詞
は,助詞
、,記号
ランチ,名詞
の,助詞
お菜,名詞
の,助詞
ハム,名詞
や,助詞
ソ,名詞
セージ,名詞
など,助詞
も,助詞
、,記号
ひょいと,副詞
指先,名詞
で,助詞
つまん,動詞
で,助詞
召し,動詞
上る,動詞
事,名詞
さえ,助詞
時たま,副詞
ある,動詞
。,記号
「,記号
おむすび,名詞
が,助詞
、,記号
どうして,副詞
おいしい,形容詞
の,名詞
だ,助動詞
か,助詞
、,記号
知っ,動詞
て,助詞
い,動詞
ます,助動詞
か,助詞
。,記号
あれ,名詞
はね,動詞
、,記号
人間,名詞
の,助詞
指,名詞
で,助詞
握りしめ,動詞
て,助詞
作る,動詞
から,助詞
です,助動詞
よ,助詞
」,記号
と,助詞
おっしゃっ,動詞
た,助動詞
事,名詞
も,助詞
ある,動詞
。,記号
本当に,副詞
、,記号
手,名詞
で,助詞
たべ,動詞
たら,助動詞
、,記号
おいしい,形容詞
だろ,助動詞
う,助動詞
な,助詞
、,記号
と,助詞
私,名詞
も,助詞
思う,動詞
事,名詞
が,助詞
ある,動詞
けれど,助詞
、,記号
私,名詞
の,助詞
よう,名詞
な,助動詞
高等,名詞
御,接頭詞
乞食,名詞
が,助詞
、,記号
下手,名詞
に,助詞
真似,名詞
し,動詞
て,助詞
それ,名詞
を,助詞
やっ,動詞
たら,助動詞
、,記号
それ,名詞
こそ,助詞
ほん,動詞
もの,名詞
の,助詞
乞食,名詞
の,助詞
図,名詞
に,助詞
なっ,動詞
て,助詞
しまい,動詞
そう,名詞
な,助動詞
気,名詞
も,助詞
する,動詞
ので,助詞
我慢,名詞
し,動詞
て,助詞
いる,動詞
。,記号
弟,名詞
の,助詞
直治,名詞
で,助動詞
さえ,助詞
、,記号
ママ,名詞
に,助詞
は,助詞
かなわ,動詞
ねえ,助動詞
、,記号
と,助詞
言っ,動詞
て,助詞
いる,動詞
が,助詞
、,記号
つくづく,副詞
私,名詞
も,助詞
、,記号
お母さま,名詞
の,助詞
真似,名詞
は,助詞
困難,名詞
で,助動詞
、,記号
絶望,名詞
みたい,名詞
な,助動詞
もの,名詞
を,助詞
さえ,助詞
感じる,動詞
事,名詞
が,助詞
ある,動詞
。,記号
いつか,名詞
、,記号
西片,名詞
町,名詞
の,助詞
お,接頭詞
うち,名詞
の,助詞
奥,名詞
庭,名詞
で,助詞
、,記号
秋,名詞
の,助詞
はじめ,名詞
の,助詞
月,名詞
の,助詞
いい,形容詞
夜,名詞
で,助動詞
あっ,助動詞
た,助動詞
が,助詞
、,記号
私,名詞
は,助詞
お母さま,名詞
と,助詞
二,名詞
人,名詞
で,助詞
お,接頭詞
池,名詞
の,助詞
端,名詞
の,助詞
あずま,名詞
や,助詞
で,助動詞
、,記号
お,接頭詞
月見,名詞
を,助詞
し,動詞
て,助詞
、,記号
狐の嫁入り,名詞
と,助詞
鼠,名詞
の,助詞
嫁入り,名詞
と,助詞
は,助詞
、,記号
お,接頭詞
嫁,名詞
の,助詞
お,接頭詞
支度,名詞
が,助詞
どう,副詞
ちがう,動詞
か,助詞
、,記号
など,助詞
笑い,動詞
ながら,助詞
話,名詞
合っ,動詞
て,助詞
いる,動詞
うち,名詞
に,助詞
、,記号
お母さま,名詞
は,助詞
、,記号
つと,副詞
お立ち,名詞
に,助詞
なっ,動詞
て,助詞
、,記号
あずま,名詞
や,助詞
の,助詞
傍,名詞
の,助詞
萩,名詞
の,助詞
しげみ,名詞
の,助詞
奥,名詞
へ,助詞
お,接頭詞
はいり,動詞
に,助詞
なり,動詞
、,記号
それから,接続詞
、,記号
萩,名詞
の,助詞
白い,形容詞
花,名詞
の,助詞
あいだ,名詞
から,助詞
、,記号
もっと,副詞
あざやか,名詞
に,助詞
白い,形容詞
お,接頭詞
顔,名詞
を,助詞
お,接頭詞
出し,名詞
に,助詞
なっ,動詞
て,助詞
、,記号
少し,副詞
笑っ,動詞
て,助詞
、,記号
「,記号
かず子,名詞
や,助詞
、,記号
お母さま,名詞
が,助詞
いま,名詞
何,名詞
を,助詞
なさっ,動詞
て,助詞
いる,動詞
か,助詞
、,記号
あて,動詞
て,助詞
ごらん,名詞
」,記号
と,助詞
おっしゃっ,動詞
た,助動詞
。,記号
「,記号
お花,名詞
を,助詞
折っ,動詞
て,助詞
いらっしゃる,動詞
」,記号
と,助詞
申し上げ,動詞
たら,助動詞
、,記号
小さい,形容詞
声,名詞
を,助詞
挙げ,動詞
て,助詞
お笑い,名詞
に,助詞
なり,動詞
、,記号
「,記号
おしっこ,名詞
よ,助詞
」,記号
と,助詞
おっしゃっ,動詞
た,助動詞
。,記号
ちっとも,副詞
しゃがん,動詞
で,助詞
いらっしゃら,動詞
ない,助動詞
の,名詞
に,助詞
は,助詞
驚い,動詞
た,助動詞
が,助詞
、,記号
けれども,接続詞
、,記号
私,名詞
など,助詞
に,助詞
は,助詞
とても,副詞
真似,動詞
られ,動詞
ない,助動詞
、,記号
しん,名詞
から,助詞
可愛らしい,形容詞
感じ,名詞
が,助詞
あっ,動詞
た,助動詞
。,記号
けさ,名詞
の,助詞
スウプ,名詞
の,助詞
事,名詞
から,助詞
、,記号
ずいぶん,副詞
脱線,名詞
し,動詞
ちゃっ,動詞
た,助動詞
けれど,助詞
、,記号
こないだ,名詞
或,連体詞
る,助動詞
本,名詞
で,助詞
読ん,動詞
で,助詞
、,記号
ルイ,名詞
王朝,名詞
の,助詞
頃,名詞
の,助詞
貴婦人,名詞
たち,名詞
は,助詞
、,記号
宮殿,名詞
の,助詞
お,接頭詞
庭,名詞
や,助詞
、,記号
それから,接続詞
廊下,名詞
の,助詞
隅,名詞
など,助詞
