表層形, 品詞
し,動詞
て,助詞
来る,動詞
よう,名詞
に,助詞
、,記号
って,助詞
言いつける,動詞
の,名詞
も,助詞
、,記号
何だか,副詞
不自然,名詞
で,助動詞
、,記号
へん,名詞
です,助動詞
から,助詞
、,記号
あなた,名詞
ご,接頭詞
自身,名詞
の,助詞
酔,名詞
興,名詞
から,助詞
、,記号
ふっと,副詞
ここ,名詞
へ,助詞
立寄っ,動詞
た,助動詞
という,助詞
形,名詞
に,助詞
し,動詞
て,助詞
、,記号
直治,名詞
の,助詞
案内,名詞
で,助詞
おいで,名詞
に,助詞
なっ,動詞
て,助詞
も,助詞
いい,形容詞
けれども,助詞
、,記号
でも,接続詞
、,記号
なるべく,副詞
なら,助動詞
お,接頭詞
ひとり,名詞
で,助詞
、,記号
そうして,接続詞
直治,名詞
が,助詞
東京,名詞
に,助詞
出張,名詞
し,動詞
た,助動詞
留守,名詞
に,助詞
おいで,名詞
に,助詞
なっ,動詞
て,助詞
下さい,動詞
。,記号
直治,名詞
が,助詞
いる,動詞
と,助詞
、,記号
あなた,名詞
を,助詞
直治,名詞
に,助詞
とら,動詞
れ,動詞
て,助詞
しまっ,動詞
て,助詞
、,記号
きっと,副詞
あなた,名詞
たち,名詞
は,助詞
、,記号
お,接頭詞
咲,名詞
さん,名詞
の,助詞
ところ,名詞
へ,助詞
焼酎,名詞
なんか,助詞
を,助詞
飲み,動詞
に,助詞
出かけ,動詞
て,助詞
行っ,動詞
て,助詞
、,記号
それ,名詞
っきり,名詞
に,助詞
なる,動詞
に,助詞
きまっ,動詞
て,助詞
い,動詞
ます,助動詞
から,助詞
。,記号
私,名詞
の,助詞
家,名詞
で,助詞
は,助詞
、,記号
先祖,名詞
代々,名詞
、,記号
芸術,名詞
家,名詞
を,助詞
好き,名詞
だっ,助動詞
た,助動詞
よう,名詞
です,助動詞
。,記号
光琳,名詞
という,助詞
画家,名詞
も,助詞
、,記号
むかし,名詞
私,名詞
ども,名詞
の,助詞
京都,名詞
の,助詞
お家,名詞
に,助詞
永く,形容詞
滞在,名詞
し,動詞
て,助詞
、,記号
襖,名詞
に,助詞
綺麗,名詞
な,助動詞
絵,名詞
を,助詞
かい,動詞
て,助詞
下さっ,動詞
た,助動詞
の,名詞
です,助動詞
。,記号
だから,接続詞
、,記号
お母さま,名詞
も,助詞
、,記号
あなた,名詞
の,助詞
御,接頭詞
来訪,名詞
を,助詞
、,記号
きっと,副詞
喜ん,動詞
で,助詞
下さる,動詞
と,助詞
思い,動詞
ます,助動詞
。,記号
あなた,名詞
は,助詞
、,記号
たぶん,副詞
、,記号
二,名詞
階,名詞
の,助詞
洋間,名詞
に,助詞
おやすみ,感動詞
という,助詞
事,名詞
に,助詞
なる,動詞
でしょ,助動詞
う,助動詞
。,記号
お,接頭詞
忘れ,動詞
なく,助動詞
電,名詞
燈,名詞
を,助詞
消し,動詞
て,助詞
置い,動詞
て,助詞
下さい,動詞
。,記号
私,名詞
は,助詞
小さい,形容詞
蝋燭,名詞
を,助詞
片手,名詞
に,助詞
持っ,動詞
て,助詞
、,記号
暗い,形容詞
階段,名詞
を,助詞
のぼっ,動詞
て,助詞
行っ,動詞
て,助詞
、,記号
それ,名詞
は,助詞
、,記号
だめ,名詞
？,記号
　,記号
早,形容詞
すぎる,動詞
わ,助詞
ね,助詞
。,記号
私,名詞
、,記号
不良,名詞
が,助詞
好き,名詞
な,助動詞
の,助詞
。,記号
それ,名詞
も,助詞
、,記号
札つき,名詞
の,助詞
不良,名詞
が,助詞
、,記号
すき,名詞
な,助動詞
の,助詞
。,記号
そう,副詞
し,動詞
て,助詞
私,名詞
も,助詞
、,記号
札つき,名詞
の,助詞
不良,名詞
に,助詞
なり,動詞
たい,助動詞
の,助詞
。,記号
そう,副詞
する,動詞
より,助詞
ほか,名詞
に,助詞
、,記号
私,名詞
の,助詞
生き,動詞
かた,名詞
が,助詞
、,記号
無い,形容詞
よう,名詞
な,助動詞
気,名詞
が,助詞
する,動詞
の,助詞
。,記号
あなた,名詞
は,助詞
、,記号
日本,名詞
で,助詞
一,名詞
ばん,名詞
の,助詞
、,記号
札つき,名詞
の,助詞
不良,名詞
でしょ,助動詞
う,助動詞
。,記号
そうして,接続詞
、,記号
このごろ,名詞
は,助詞
また,接続詞
、,記号
たくさん,名詞
の,助詞
ひと,名詞
が,助詞
、,記号
あなた,名詞
を,助詞
、,記号
きたならしい,形容詞
、,記号
けがらわしい,形容詞
、,記号
と,助詞
言っ,動詞
て,助詞
、,記号
ひどく,形容詞
憎ん,動詞
で,助詞
攻撃,名詞
し,動詞
て,助詞
いる,動詞
とか,助詞
、,記号
弟,名詞
から,助詞
聞い,動詞
て,助詞
、,記号
いよいよ,副詞
あなた,名詞
を,助詞
好き,名詞
に,助詞
なり,動詞
まし,助動詞
た,助動詞
。,記号
あなた,名詞
の,助詞
事,名詞
です,助動詞
から,助詞
、,記号
きっと,副詞
いろいろ,副詞
の,助詞
アミ,名詞
を,助詞
お,接頭詞
持ち,動詞
でしょ,助動詞
う,助動詞
けれども,助詞
、,記号
いま,名詞
に,助詞
だんだん,副詞
私,名詞
ひとり,名詞
を,助詞
すき,名詞
に,助詞
おなり,名詞
でしょ,助動詞
う,助動詞
。,記号
なぜ,副詞
だ,助動詞
か,助詞
、,記号
私,名詞
に,助詞
は,助詞
、,記号
そう,副詞
思わ,動詞
れ,動詞
て,助詞
仕方,名詞
が,助詞
無い,形容詞
ん,名詞
です,助動詞
。,記号
そうして,接続詞
、,記号
あなた,名詞
は,助詞
私,名詞
と,助詞
一緒,名詞
に,助詞
暮し,動詞
て,助詞
、,記号
毎日,名詞
、,記号
たのしく,形容詞
お,接頭詞
仕事,名詞
が,助詞
出来る,動詞
でしょ,助動詞
う,助動詞
。,記号
小さい,形容詞
時,名詞
から,助詞
私,名詞
は,助詞
、,記号
よく,副詞
人,名詞
から,助詞
、,記号
「,記号
あなた,名詞
と,助詞
一緒,名詞
に,助詞
いる,動詞
と,助詞
苦労,名詞
を,助詞
忘れる,動詞
」,記号
と,助詞
言わ,動詞
れ,動詞
て,助詞
来,動詞
まし,助動詞
た,助動詞
。,記号
私,名詞
は,助詞
いま,名詞
まで,助詞
、,記号
人,名詞
から,助詞
きらわ,動詞
れ,動詞
た,助動詞
経験,名詞
が,助詞
無い,形容詞
ん,名詞
です,助動詞
。,記号
みんな,名詞
が,助詞
私,名詞
を,助詞
、,記号
いい,形容詞
子,名詞
だ,助動詞
と,助詞
言っ,動詞
て,助詞
下さい,動詞
まし,助動詞
た,助動詞
。,記号
だから,接続詞
、,記号
あなた,名詞
も,助詞
、,記号
私,名詞
を,助詞
おき,動詞
らい,名詞
の,助詞
筈,名詞
は,助詞
、,記号
けっして,副詞
ない,形容詞
と,助詞
思う,動詞
の,名詞
です,助動詞
。,記号
逢え,動詞
ば,助詞
いい,形容詞
の,名詞
です,助動詞
。,記号
もう,副詞
、,記号
いま,名詞
は,助詞
御返事,名詞
も,助詞
何,名詞
も,助詞
要り,動詞
ませ,助動詞
ん,助動詞
。,記号
お,接頭詞
逢い,動詞
し,助動詞
とう,副詞
ござい,動詞
ます,助動詞
。,記号
私,名詞
の,助詞
ほう,名詞
から,助詞
、,記号
東京,名詞
の,助詞
あなた,名詞
の,助詞
お,接頭詞
宅,名詞
へ,助詞
お,接頭詞
伺い,名詞
すれ,動詞
ば,助詞
一,名詞
ばん,名詞
簡単,名詞
に,助詞
お,接頭詞
め,名詞
に,助詞
かかれる,動詞
の,名詞
でしょ,助動詞
う,助動詞
けれど,助詞
、,記号
お母さま,名詞
が,助詞
、,記号
何せ,副詞
半,接頭詞
病人,名詞
の,助詞
よう,名詞
で,助動詞
、,記号
私,名詞
は,助詞
附き,動詞
っきり,名詞
の,助詞
看護,名詞
婦,名詞
兼,名詞
お,接頭詞
女中,名詞
さん,名詞
な,助動詞
の,名詞
です,助動詞
から,助詞
、,記号
どうしても,副詞
それ,名詞
が,助詞
出来,動詞
ませ,助動詞
ん,助動詞
。,記号
おねがい,名詞
で,助動詞
ござい,助動詞
ます,助動詞
。,記号
どう,副詞
か,助詞
、,記号
こちら,名詞
へ,助詞
いら,動詞
し,動詞
て,助詞
下さい,動詞
。,記号
ひと,名詞
め,名詞
お,接頭詞
逢い,動詞
し,動詞
たい,助動詞
の,名詞
です,助動詞
。,記号
そうして,接続詞
、,記号
すべて,名詞
は,助詞
、,記号
お,接頭詞
逢い,動詞
すれ,動詞
ば,助詞
、,記号
わかる,動詞
こと,名詞
。,記号
私,名詞
の,助詞
口,名詞
の,助詞
両側,名詞
に,助詞
出来,動詞
た,助動詞
幽か,名詞
な,助動詞
皺,名詞
を,助詞
見,動詞
て,助詞
下さい,動詞
。,記号
世紀,名詞
の,助詞
悲しみ,名詞
の,助詞
皺,名詞
を,助詞
見,動詞
て,助詞
下さい,動詞
。,記号
私,名詞
の,助詞
どんな,連体詞
言葉,名詞
より,助詞
、,記号
私,名詞
の,助詞
顔,名詞
が,助詞
、,記号
私,名詞
の,助詞
胸,名詞
の,助詞
思い,名詞
を,助詞
はっきり,副詞
あなた,名詞
に,助詞
お知らせ,名詞
する,動詞
筈,名詞
で,助動詞
ござい,助動詞
ます,助動詞
。,記号
さい,名詞
しょ,名詞
に,助詞
差し上げ,動詞
た,助動詞
手紙,名詞
に,助詞
、,記号
私,名詞
の,助詞
胸,名詞
に,助詞
かかっ,動詞
て,助詞
いる,動詞
虹,名詞
の,助詞
事,名詞
を,助詞
書き,動詞
まし,助動詞
た,助動詞
が,助詞
、,記号
その,連体詞
虹,名詞
は,助詞
螢,名詞
の,助詞
光,名詞
みたい,名詞
な,助動詞
、,記号
または,接続詞
お,接頭詞
星,名詞
さま,名詞
の,助詞
光,名詞
みたい,名詞
な,助動詞
、,記号
そんな,連体詞
お,接頭詞
上品,名詞
な,助動詞
美しい,形容詞
もの,名詞
で,助動詞
は,助詞
ない,形容詞
の,名詞
です,助動詞
。,記号
そんな,連体詞
淡い,形容詞
遠い,形容詞
思い,名詞
だっ,助動詞
たら,助動詞
、,記号
私,名詞
は,助詞
こんなに,副詞
苦しま,動詞
ず,助動詞
、,記号
次第に,副詞
あなた,名詞
を,助詞
忘れ,動詞
て,助詞
行く,動詞
事,名詞
が,助詞
出来,動詞
た,助動詞
でしょ,助動詞
う,助動詞
。,記号
私,名詞
の,助詞
胸,名詞
の,助詞
虹,名詞
は,助詞
、,記号
炎,名詞
の,助詞
橋,名詞
です,助動詞
。,記号
胸,名詞
が,助詞
焼き,動詞
こげる,動詞
ほど,助詞
の,助詞
思い,名詞
な,助動詞
の,名詞
です,助動詞
。,記号
麻薬,名詞
中毒,名詞
者,名詞
が,助詞
、,記号
麻薬,名詞
が,助詞
切れ,動詞
て,助詞
薬,名詞
を,助詞
求める,動詞
時,名詞
の,助詞
気持,名詞
だって,助詞
、,記号
これ,名詞
ほど,助詞
つらく,形容詞
は,助詞
ない,助動詞
でしょ,助動詞
う,助動詞
。,記号
間違っ,動詞
て,助詞
は,助詞
い,動詞
ない,助動詞
、,記号
よこしま,名詞
で,助詞
は,助詞
ない,形容詞
と,助詞
思い,動詞
ながら,助詞
も,助詞
、,記号
ふっと,副詞
、,記号
私,名詞
、,記号
たいへん,副詞
な,助動詞
、,記号
大,接頭詞
馬鹿,名詞
の,助詞
事,名詞
を,助詞
しよ,動詞
う,助動詞
と,助詞
し,動詞
て,助詞
いる,動詞
の,名詞
で,助動詞
は,助詞
ない,形容詞
かしら,助詞
、,記号
と,助詞
思っ,動詞
て,助詞
、,記号
ぞっと,副詞
する,動詞
事,名詞
も,助詞
ある,動詞
ん,名詞
です,助動詞
。,記号
発狂,名詞
し,動詞
て,助詞
いる,動詞
の,名詞
で,助動詞
は,助詞
ない,形容詞
かしら,助詞
と,助詞
反省,名詞
する,動詞
、,記号
そんな,連体詞
気持,名詞
も,助詞
、,記号
たくさん,名詞
ある,動詞
ん,名詞
です,助動詞
。,記号
でも,接続詞
、,記号
私,名詞
だって,助詞
、,記号
冷静,名詞
に,助詞
計画,名詞
し,動詞
て,助詞
いる,動詞
事,名詞
も,助詞
ある,動詞
ん,名詞
です,助動詞
。,記号
本当に,副詞
、,記号
こちら,名詞
へ,助詞
いちど,名詞
いら,動詞
し,動詞
て,助詞
下さい,動詞
。,記号
い,動詞
つ,助動詞
、,記号
い,名詞
らし,助動詞
て,助詞
下さっ,動詞
て,助詞
も,助詞
大丈夫,名詞
。,記号
私,名詞
は,助詞
どこ,名詞
へ,助詞
も,助詞
行か,動詞
ず,助動詞
に,助詞
、,記号
いつも,副詞
お待ち,名詞
し,動詞
て,助詞
い,動詞
ます,助動詞
。,記号
私,名詞
を,助詞
信じ,動詞
て,助詞
下さい,動詞
。,記号
もう一度,副詞
お,接頭詞
逢い,動詞
し,動詞
て,助詞
、,記号
その,連体詞
時,名詞
、,記号
いや,名詞
なら,助動詞
ハッキリ,副詞
言っ,動詞
て,助詞
下さい,動詞
。,記号
私,名詞
の,助詞
この,連体詞
胸,名詞
の,助詞
炎,名詞
は,助詞
、,記号
あなた,名詞
が,助詞
点火,名詞
し,動詞
た,助動詞
の,名詞
です,助動詞
から,助詞
、,記号
あなた,名詞
が,助詞
消し,動詞
て,助詞
行っ,動詞
て,助詞
下さい,動詞
。,記号
私,名詞
ひとり,名詞
の,助詞
力,名詞
で,助詞
は,助詞
、,記号
とても,副詞
消す,動詞
事,名詞
が,助詞
出来,動詞
ない,助動詞
の,名詞
です,助動詞
。,記号
とにかく,副詞
逢っ,動詞
たら,助動詞
、,記号
逢っ,動詞
たら,助動詞
、,記号
私,名詞
が,助詞
助かり,動詞
ます,助動詞
。,記号
万葉,名詞
や,助詞
源氏物語,名詞
の,助詞
頃,名詞
だっ,助動詞
たら,助動詞
、,記号
私,名詞
の,助詞
申し上げ,動詞
て,助詞
いる,動詞
よう,名詞
な,助動詞
こと,名詞
、,記号
何,名詞
で,助詞
も,助詞
ない,形容詞
事,名詞
でし,助動詞
た,助動詞
のに,助詞
。,記号
私,名詞
の,助詞
望み,名詞
。,記号
あなた,名詞
の,助詞
愛妾,名詞
に,助詞
なっ,動詞
て,助詞
、,記号
あなた,名詞
の,助詞
子供,名詞
の,助詞
母,名詞
に,助詞
なる,動詞
事,名詞
。,記号
この,連体詞
よう,名詞
な,助動詞
手紙,名詞
を,助詞
、,記号
もし,副詞
嘲笑,名詞
する,動詞
ひと,名詞
が,助詞
あっ,動詞
たら,助動詞
、,記号
その,連体詞
ひと,名詞
は,助詞
女,名詞
の,助詞
生き,動詞
て,助詞
行く,動詞
努力,名詞
を,助詞
嘲笑,名詞
する,動詞
ひと,名詞
です,助動詞
。,記号
女,名詞
の,助詞
いのち,名詞
を,助詞
嘲笑,名詞
する,動詞
ひと,名詞
です,助動詞
。,記号
私,名詞
は,助詞
港,名詞
の,助詞
息づまる,動詞
よう,名詞
な,助動詞
澱ん,動詞
だ,助動詞
空気,名詞
に,助詞
堪え,動詞
切れ,動詞
なく,助動詞
て,助詞
、,記号
港,名詞
の,助詞
外,名詞
は,助詞
嵐,名詞
で,助動詞
あっ,助動詞
て,助詞
も,助詞
、,記号
帆,名詞
を,助詞
あげ,動詞
たい,助動詞
の,名詞
です,助動詞
。,記号
憩,名詞
える,動詞
帆,名詞
は,助詞
、,記号
例外,名詞
なく,形容詞
汚い,形容詞
。,記号
私,名詞
を,助詞
嘲笑,名詞
する,動詞
人,名詞
たち,名詞
は,助詞
、,記号
きっと,副詞
みな,名詞
、,記号
憩,名詞
える,動詞
帆,名詞
です,助動詞
。,記号
何,名詞
も,助詞
出来,動詞
やし,助動詞
ない,助動詞
ん,名詞
です,助動詞
。,記号
困っ,動詞
た,助動詞
女,名詞
。,記号
しかし,接続詞
、,記号
この,連体詞
問題,名詞
で,助詞
一,名詞
ばん,副詞
苦しん,動詞
で,助詞
いる,動詞
の,名詞
は,助詞
私,名詞
な,助動詞
の,名詞
です,助動詞
。,記号
この,連体詞
問題,名詞
に,助詞
就い,動詞
て,助詞
、,記号
何,名詞
も,助詞
、,記号
ちっとも,副詞
苦しん,動詞
で,助詞
い,動詞
ない,助動詞
傍観,名詞
者,名詞
が,助詞
、,記号
帆,名詞
を,助詞
醜く,形容詞
だらり,副詞
と,助詞
休ま,動詞
せ,動詞
ながら,助詞
、,記号
この,連体詞
問題,名詞
を,助詞
批判,名詞
する,動詞
の,名詞
は,助詞
、,記号
ナンセンス,名詞
です,助動詞
。,記号
私,名詞
を,助詞
、,記号
いい加減,名詞
に,助詞
何,名詞
々,記号
思想,名詞
なんて,助詞
言っ,動詞
て,助詞
もらい,動詞
たく,助動詞
ない,助動詞
ん,名詞
です,助動詞
。,記号
私,名詞
は,助詞
無,接頭詞
思想,名詞
です,助動詞
。,記号
私,名詞
は,助詞
思想,名詞
や,助詞
哲学,名詞
なんて,助詞
もの,名詞
で,助詞
行動,名詞
し,動詞
た,助動詞
事,名詞
は,助詞
、,記号
いちど,名詞
だって,助詞
ない,形容詞
ん,名詞
です,助動詞
。,記号
世間,名詞
で,助動詞
よい,形容詞
と,助詞
言わ,動詞
れ,動詞
、,記号
尊敬,名詞
さ,動詞
れ,動詞
て,助詞
いる,動詞
ひと,名詞
たち,名詞
は,助詞
、,記号
みな,名詞
嘘つき,名詞
で,助詞
、,記号
にせもの,名詞
な,助動詞
の,名詞
を,助詞
、,記号
私,名詞
は,助詞
知っ,動詞
て,助詞
いる,動詞
ん,名詞
です,助動詞
。,記号
私,名詞
は,助詞
、,記号
世間,名詞
を,助詞
信用,名詞
し,動詞
て,助詞
い,動詞
ない,助動詞
ん,名詞
です,助動詞
。,記号
札つき,名詞
の,助詞
不良,名詞
だけ,助詞
が,助詞
、,記号
私,名詞
の,助詞
味方,名詞
な,助動詞
ん,名詞
です,助動詞
。,記号
札つき,名詞
の,助詞
不良,名詞
。,記号
私,名詞
は,助詞
、,記号
その,連体詞
十字架,名詞
に,助詞
だけ,助詞
は,助詞
、,記号
かかっ,動詞
て,助詞
死ん,動詞
で,助詞
も,助詞
いい,形容詞
と,助詞
思っ,動詞
て,助詞
い,動詞
ます,助動詞
。,記号
万,名詞
人,名詞
に,助詞
非難,名詞
せら,動詞
れ,動詞
て,助詞
も,助詞
、,記号
それでも,接続詞
、,記号
私,名詞
は,助詞
言い,動詞
かえし,動詞
て,助詞
やれる,動詞
ん,名詞
です,助動詞
。,記号
お前,名詞
たち,名詞
は,助詞
、,記号
札,名詞
の,助詞
つい,動詞
て,助詞
い,動詞
ない,助動詞
もっと,副詞
危険,名詞
な,助動詞
不良,名詞
じゃ,助詞
ない,助動詞
か,助詞
、,記号
と,助詞
。,記号
お,接頭詞
わかり,動詞
に,助詞
なり,動詞
まし,助動詞
て,助詞
？,記号
こい,形容詞
に,助詞
理由,名詞
は,助詞
ござい,助動詞
ませ,助動詞
ん,助動詞
。,記号
すこし,副詞
理窟,名詞
みたい,名詞
な,助動詞
事,名詞
を,助詞
言い,動詞
すぎ,動詞
まし,助動詞
た,助動詞
。,記号
弟,名詞
の,助詞
口真似,名詞
に,助詞
過ぎ,動詞
なかっ,助動詞
た,助動詞
よう,名詞
な,助動詞
気,名詞
も,助詞
し,動詞
ます,助動詞
。,記号
おいで,名詞
を,助詞
お待ち,名詞
し,動詞
て,助詞
いる,動詞
だけ,助詞
な,助動詞
の,名詞
です,助動詞
。,記号
もう一度,副詞
おめにかかり,動詞
たい,助動詞
の,名詞
です,助動詞
。,記号
それだけ,副詞
な,助動詞
の,名詞
です,助動詞
。,記号
待つ,動詞
。,記号
ああ,感動詞
、,記号
人間,名詞
の,助詞
生活,名詞
に,助詞
は,助詞
、,記号
喜ん,動詞
だり,助詞
怒っ,動詞
たり,助詞
悲しん,動詞
だり,助詞
憎ん,動詞
だり,助詞
、,記号
いろいろ,副詞
の,助詞
感情,名詞
が,助詞
ある,動詞
けれども,助詞
、,記号
けれども,接続詞
それ,名詞
は,助詞
人間,名詞
の,助詞
生活,名詞
の,助詞
ほんの,連体詞
一,名詞
パーセント,名詞
を,助詞
占め,動詞
て,助詞
いる,動詞
だけ,助詞
の,助詞
感情,名詞
で,助詞
、,記号
あと,名詞
の,助詞
九,名詞
十,名詞
九,名詞
パーセント,名詞
は,助詞
、,記号
ただ,接続詞
待っ,動詞
て,助詞
暮らし,動詞
て,助詞
いる,動詞
の,名詞
で,助動詞
は,助詞
ない,助動詞
でしょ,助動詞
う,助動詞
か,助詞
。,記号
幸福,名詞
の,助詞
足音,名詞
が,助詞
、,記号
廊下,名詞
に,助詞
聞える,動詞
の,名詞
を,助詞
今,名詞
か,助詞
今,名詞
か,助詞
と,助詞
胸,名詞
の,助詞
つぶれる,動詞
思い,名詞
で,助詞
待っ,動詞
て,助詞
、,記号
からっぽ,名詞
。,記号
ああ,感動詞
、,記号
人間,名詞
の,助詞
生活,名詞
って,助詞
、,記号
あんまり,副詞
みじめ,名詞
。,記号
生れ,動詞
て,助詞
来,動詞
ない,助動詞
ほう,名詞
が,助詞
よかっ,形容詞
た,助動詞
と,助詞
みんな,名詞
が,助詞
考え,動詞
て,助詞
いる,動詞
この,連体詞
現実,名詞
。,記号
そうして,接続詞
毎日,名詞
、,記号
朝,名詞
から,助詞
晩,名詞
まで,助詞
、,記号
はかなく,形容詞
何,名詞
か,助詞
を,助詞
待っ,動詞
て,助詞
いる,動詞
。,記号
みじめ,名詞
すぎ,動詞
ます,助動詞
。,記号
生れ,動詞
て,助詞
来,動詞
て,助詞
よかっ,形容詞
た,助動詞
と,助詞
、,記号
ああ,感動詞
、,記号
いのち,名詞
を,助詞
、,記号
人間,名詞
を,助詞
、,記号
世の中,名詞
を,助詞
、,記号
よろこん,動詞
で,助詞
み,動詞
とう,助動詞
ござい,助動詞
ます,助動詞
。,記号
はばむ,動詞
道徳,名詞
を,助詞
、,記号
押しのけ,動詞
られ,動詞
ませ,助動詞
ん,助動詞
か,助詞
？,記号
Ｍ,記号
・,記号
Ｃ,記号
（,記号
マイ,名詞
、,記号
チェホフ,名詞
の,助詞
イニシャル,名詞
で,助詞
は,助詞
ない,形容詞
ん,名詞
です,助動詞
。,記号
私,名詞
は,助詞
、,記号
作家,名詞
に,助詞
こい,動詞
し,動詞
て,助詞
いる,動詞
の,名詞
で,助動詞
は,助詞
ござい,助動詞
ませ,助動詞
ん,助動詞
。,記号
マイ,名詞
、,記号
チャイルド,名詞
）,記号
私,名詞
は,助詞
、,記号
ことし,名詞
の,助詞
夏,名詞
、,記号
或,連体詞
る,助動詞
男,名詞
の,助詞
ひと,名詞
に,助詞
、,記号
三つ,名詞
の,助詞
手紙,名詞
を,助詞
差し上げ,動詞
た,助動詞
が,助詞
、,記号
ご,接頭詞
返事,名詞
は,助詞
無かっ,形容詞
た,助動詞
。,記号
どう,副詞
考え,動詞
て,助詞
も,助詞
、,記号
私,名詞
に,助詞
は,助詞
、,記号
それ,名詞
より,助詞
他,名詞
に,助詞
生き方,名詞
が,助詞
無い,形容詞
と,助詞
思わ,動詞
れ,動詞
て,助詞
、,記号
三つ,名詞
の,助詞
手紙,名詞
に,助詞
、,記号
私,名詞
の,助詞
その,連体詞
胸,名詞
の,助詞
うち,名詞
を,助詞
書き,動詞
し,動詞
た,助動詞
ため,名詞
、,記号
岬,名詞
の,助詞
尖端,名詞
から,助詞
怒,動詞
濤,名詞
めがけ,動詞
て,助詞
飛び下りる,動詞
気持,名詞
で,助詞
、,記号
投函,名詞
し,動詞
た,助動詞
のに,助詞
、,記号
いくら,副詞
待っ,動詞
て,助詞
も,助詞
、,記号
ご,接頭詞
返事,名詞
が,助詞
無かっ,形容詞
た,助動詞
。,記号
弟,名詞
の,助詞
直治,名詞
に,助詞
、,記号
それとなく,副詞
その,連体詞
ひと,名詞
の,助詞
御,接頭詞
様子,名詞
を,助詞
聞い,動詞
て,助詞
も,助詞
、,記号
その,連体詞
ひと,名詞
は,助詞
何,名詞
の,助詞
変る,動詞
ところ,名詞
も,助詞
なく,形容詞
、,記号
毎晩,名詞
お,接頭詞
酒,名詞
を,助詞
飲み,動詞
歩き,動詞
、,記号
いよいよ,副詞
不道徳,名詞
の,助詞
作品,名詞
ばかり,助詞
書い,動詞
て,助詞
、,記号
世間,名詞
の,助詞
おとな,名詞
たち,名詞
に,助詞
、,記号
ひんしゅく,名詞
せら,動詞
れ,動詞
、,記号
憎まれ,動詞
て,助詞
いる,動詞
らしく,助動詞
、,記号
直治,名詞
に,助詞
出版,名詞
業,名詞
を,助詞
はじめ,名詞
よ,助詞
、,記号
など,助詞
と,助詞
すすめ,動詞
て,助詞
、,記号
直治,名詞
は,助詞
大乗,名詞
気,名詞
で,助動詞
、,記号
あの,連体詞
ひと,名詞
の,助詞
他,名詞
に,助詞
も,助詞
二,名詞
、,記号
三,名詞
、,記号
小説,名詞
家,名詞
の,助詞
かた,名詞
に,助詞
顧問,名詞
に,助詞
なっ,動詞
て,助詞
もらい,動詞
、,記号
資本,名詞
を,助詞
出し,動詞
て,助詞
くれる,動詞
ひと,名詞
も,助詞
ある,動詞
と,助詞
か,助詞
どう,副詞
とか,助詞
、,記号
直治,名詞
の,助詞
話,名詞
を,助詞
聞い,動詞
て,助詞
いる,動詞
と,助詞
、,記号
私,名詞
の,助詞
恋し,形容詞
て,助詞
いる,動詞
ひと,名詞
の,助詞
身,名詞
の,助詞
まわり,名詞
の,助詞
雰囲気,名詞
に,助詞
、,記号
私,名詞
の,助詞
匂い,名詞
が,助詞
みじん,名詞
も,助詞
滲み,動詞
込ん,動詞
で,助詞
い,動詞
ない,助動詞
らしく,助動詞
、,記号
私,名詞
は,助詞
恥ずかしい,形容詞
という,助詞
思い,名詞
より,助詞
も,助詞
、,記号
この,連体詞
世の中,名詞
という,助詞
もの,名詞
が,助詞
、,記号
私,名詞
の,助詞
考え,動詞
て,助詞
いる,動詞
世の中,名詞
と,助詞
は,助詞
、,記号
まるで,副詞
ちがっ,動詞
た,助動詞
別,名詞
な,助動詞
奇妙,名詞
な,助動詞
生き物,名詞
みたい,名詞
な,助動詞
気,名詞
が,助詞
し,動詞
て,助詞
来,動詞
て,助詞
、,記号
自分,名詞
ひとり,名詞
だけ,助詞
置き去り,名詞
に,助詞
さ,動詞
れ,動詞
、,記号
呼ん,動詞
で,助詞
も,助詞
叫ん,動詞
で,助詞
も,助詞
、,記号
何,名詞
の,助詞
手応え,名詞
の,助詞
無い,形容詞
たそがれ,名詞
の,助詞
秋,名詞
の,助詞
曠野,名詞
に,助詞
立たさ,動詞
れ,動詞
て,助詞
いる,動詞
よう,名詞
な,助動詞
、,記号
これ,名詞
まで,助詞
味わっ,動詞
た,助動詞
事,名詞
の,助詞
ない,形容詞
悽愴,名詞
の,助詞
思い,名詞
に,助詞
襲わ,動詞
れ,動詞
た,助動詞
。,記号
これ,名詞
が,助詞
、,記号
失恋,名詞
という,助詞
もの,名詞
で,助動詞
あろ,助動詞
う,助動詞
か,助詞
。,記号
曠野,名詞
に,助詞
こうして,接続詞
、,記号
ただ,接続詞
立ちつくし,動詞
て,助詞
いる,動詞
うち,名詞
に,助詞
、,記号
日,名詞
が,助詞
とっぷり,副詞
暮れ,動詞
て,助詞
、,記号
夜露,名詞
に,助詞
こごえ,動詞
て,助詞
死ぬ,動詞
より,助詞
他,名詞
は,助詞
無い,形容詞
の,名詞
だろ,助動詞
う,助動詞
か,助詞
と,助詞
思え,動詞
ば,助詞
、,記号
涙,名詞
の,助詞
出,動詞
ない,助動詞
慟哭,名詞
で,助詞
、,記号
両,接頭詞
肩,名詞
と,助詞
胸,名詞
が,助詞
烈しく,形容詞
浪,名詞
打ち,動詞
、,記号
息,名詞
も,助詞
出来,動詞
ない,助動詞
気持,名詞
に,助詞
なる,動詞
の,名詞
だ,助動詞
。,記号
もうこ,名詞
の,助詞
上,名詞
